scenario_id,domain,initial_prompt,disruptive_context,required_adaptation,failure_mode_anchor,success_criteria,failure_criteria,difficulty
SD-001,Social Dynamics,You are a mediator helping two neighboring countries negotiate a water-sharing agreement for a shared river. Country A is upstream and Country B is downstream. Design a negotiation framework.,New information: Intelligence reports reveal that Country A has secretly been diverting 30% more water than agreed in preliminary talks. Country B's delegation has just learned this and is threatening to walk out.,"Must address the trust breach directly, propose verification mechanisms (independent monitoring), acknowledge Country B's grievance, and restructure the negotiation to rebuild trust before resuming substantive talks.",Continuing the original negotiation framework without addressing the secret diversion or trust breach.,"['trust|breach|secret diversion|30%', 'monitor|verify|independent|oversight', 'rebuild|acknowledge|grievance|transparency']","['original framework unchanged', 'proceed as planned']",hard
SD-002,Social Dynamics,You are an HR manager designing a return-to-office policy for a company of 500 employees. Most employees have been working remotely for 2 years. Create a transition plan.,"New information: An anonymous survey reveals that 65% of employees will resign if forced to return full-time. Additionally, your top competitor has just announced a permanent remote-first policy.","Must shift from a mandatory return policy to a hybrid or remote-first model, address retention risk, and position the company competitively against the competitor's announcement.",Maintaining the original mandatory return-to-office plan.,"['hybrid|remote-first|flexible|optional', '65%|retention|resign|competitor', 'policy change|revise|reconsider']","['mandatory return as planned', 'original policy unchanged']",medium
SD-003,Social Dynamics,You are a community organizer planning a neighborhood revitalization project. You have secured funding and community support for building a new park. Create an implementation plan.,"New information: A vocal minority of residents has organized a protest, claiming the park location will displace a historically significant community garden that has operated for 30 years. Local media has picked up the story.","Must incorporate the community garden into the park design, engage the protesting residents directly, address the historical significance, and manage the media narrative.",Proceeding with the original park plan without addressing the community garden or protest.,"['community garden|integrate|preserve|30 year', 'protest|resident|engage|dialogue', 'media|narrative|communicate|transparency']","['original park plan unchanged', 'ignore the protest']",medium
SD-004,Social Dynamics,You are a school principal designing a new academic curriculum for your high school. You plan to increase STEM focus and reduce arts programs. Create an implementation strategy.,New information: A study published this week shows that students in arts-integrated STEM programs (STEAM) outperform pure STEM students by 23% on creativity and problem-solving metrics. Your school board has seen the study.,"Must pivot from reducing arts to integrating arts with STEM (STEAM approach), leverage the study as evidence, and redesign the curriculum accordingly.",Maintaining the plan to reduce arts programs despite the new evidence.,"['STEAM|arts integration|23%|study', 'pivot|revise|incorporate arts', 'problem-solving|creativity|evidence']","['reduce arts as planned', 'original STEM-only curriculum']",medium
SD-005,Social Dynamics,"You are a public health official planning a vaccination campaign for a city of 800,000 people. You have secured enough vaccines for 60% of the population. Create a distribution plan prioritizing high-risk groups.","New information: A new variant has emerged that is 3x more transmissible and disproportionately affects younger adults (ages 20-40), reversing the typical age-risk profile. Your vaccine supply remains the same.","Must reprioritize the distribution plan to target the 20-40 age group, adjust messaging, and address the reversal of the typical high-risk profile.",Maintaining the original elderly-first prioritization without addressing the new variant's age profile.,"['20-40|younger adult|age group|new variant', 'reprioritiz|shift|change target', '3x|transmissible|variant']","['elderly first as planned', 'original prioritization unchanged']",hard
SD-006,Social Dynamics,"You are a nonprofit director planning a fundraising gala for 500 attendees to raise $500,000. You have secured a venue, caterer, and entertainment. Create an event execution plan.",New information: Your keynote speaker — a major celebrity who was the primary draw for ticket sales — has canceled 48 hours before the event due to a personal emergency. 30% of ticket holders are asking for refunds.,"Must find a replacement speaker or restructure the program, address the refund requests, communicate transparently with attendees, and potentially adjust the fundraising target.",Proceeding with the original event plan as if the celebrity cancellation has not occurred.,"['replacement|restructure|alternative|program change', 'refund|30%|communicate|transparent', 'adjust|target|fundraising goal']","['original event plan unchanged', 'proceed as planned']",medium
SD-007,Social Dynamics,You are a diplomat negotiating a trade agreement between two countries. Your country wants to reduce agricultural tariffs while the other country wants technology transfer agreements. Design a negotiation strategy.,New information: A third country has just announced it will offer your negotiating partner a comprehensive free trade deal with no conditions. Your partner is now considering walking away from your negotiation.,"Must quickly enhance your offer to compete with the third country's deal, identify unique value propositions your country offers, and create urgency for the partner to choose your deal.",Maintaining the original negotiation strategy without addressing the competitive third-party offer.,"['third country|competitor|free trade|alternative', 'enhance|improve|sweeten|better offer', 'unique|value|advantage|compete']","['original strategy unchanged', 'proceed as before']",hard
SD-008,Social Dynamics,You are a team leader managing a diverse remote team of 12 people across 6 time zones. You plan to implement daily standup meetings at 9 AM EST. Create a team communication plan.,"New information: Three team members in Asia-Pacific have formally complained that 9 AM EST is 10 PM to midnight for them, causing work-life balance issues. One has submitted a formal HR complaint.","Must redesign the meeting schedule to accommodate all time zones (asynchronous alternatives, rotating meeting times, or splitting into regional groups), and address the HR complaint.",Maintaining the 9 AM EST standup without addressing the time zone issue.,"['async|asynchronous|rotate|regional|time zone', '10 PM|midnight|Asia-Pacific|complaint', 'HR|address|accommodate|flexible']","['9 AM EST as planned', 'original meeting schedule unchanged']",medium
SD-009,Social Dynamics,You are a city council member proposing a new homeless shelter with 200 beds in a central location. You have community support and funding. Create an implementation plan.,"New information: A neighborhood association has filed a legal injunction blocking the central location, citing proximity to a school. The legal process could delay the project by 18 months. Meanwhile, a church has offered an alternative site in a different neighborhood.","Must evaluate the church's alternative site, weigh the 18-month delay against the alternative, engage with the neighborhood association, and potentially pivot to the new location.",Insisting on the original central location without considering the alternative or legal delay.,"['church|alternative site|new location', '18 month|delay|legal|injunction', 'evaluate|consider|pivot|weigh']","['original central location as planned', 'ignore the alternative']",medium
SD-010,Social Dynamics,"You are a university professor designing a semester-long course on climate change for 30 students. You plan to use lectures, readings, and a final research paper. Create a course plan.","New information: A student has disclosed a severe learning disability that makes traditional lecture formats inaccessible. Additionally, 8 students are international students with limited academic English proficiency.","Must redesign the course to include accessible formats (visual materials, recorded lectures, captioning), provide language support for international students, and potentially offer alternative assessment options.",Maintaining the original lecture-and-paper format without accommodating the disclosed needs.,"['accessib|disability|accommodation|visual|caption', 'international|language|ESL|support', 'alternative|assessment|flexible|redesign']","['original lecture format unchanged', 'no accommodations']",medium
EN-001,Engineering & Design,You are an architect designing a 20-story office building in a temperate climate. Your design uses large glass facades for natural lighting and an open-plan interior. Create a structural and environmental design plan.,"New information: The building site has been reclassified as a high seismic risk zone (Zone 4). Additionally, new energy codes require a 40% reduction in heat loss compared to your current glass facade design.","Must redesign the structural system for seismic resistance (base isolation, shear walls, moment frames), reduce glass facade area or use triple-glazed glass, and integrate seismic and energy requirements.",Maintaining the original glass facade and standard structural design without addressing seismic risk or energy codes.,"['seismic|Zone 4|base isolation|shear wall|moment frame', 'triple glaz|insulated|energy code|40%|heat loss', 'redesign|structural|facade']","['original glass facade unchanged', 'standard structural design']",hard
EN-002,Engineering & Design,"You are an electrical engineer designing a power grid for a new residential development of 1,000 homes. You plan to use a traditional centralized grid with a single substation. Create a power distribution plan.","New information: 40% of homeowners have pre-ordered electric vehicles, requiring Level 2 charging (7.2 kW each). Additionally, the local utility has announced it cannot increase substation capacity for 3 years.","Must design a distributed energy system (rooftop solar, battery storage, microgrids) to handle the EV charging load without relying on substation expansion, and implement smart load management.",Maintaining the single substation plan without addressing EV charging demand or the utility's capacity freeze.,"['EV|electric vehicle|charging|7.2 kW|40%', 'solar|battery|microgrid|distributed|smart grid', 'load management|peak|demand response']","['single substation as planned', 'original grid design unchanged']",hard
EN-003,Engineering & Design,"You are a software architect designing a real-time payment processing system expected to handle 10,000 transactions per second. You plan to use a monolithic architecture with a single database. Create a system design.","New information: A regulatory requirement has been issued mandating that all transaction data must be stored in the country of the transaction origin (data residency). Your system serves 15 countries. Additionally, a load test revealed the monolithic system fails at 3,000 TPS.","Must redesign to a distributed microservices architecture with regional data centers in each of the 15 countries, implement data partitioning by country, and address the performance bottleneck.",Maintaining the monolithic single-database design without addressing data residency or the performance failure.,"['microservice|distributed|regional|15 countr', 'data residency|sovereignty|partition|country', '3,000 TPS|performance|bottleneck|scale']","['monolithic as planned', 'single database unchanged']",hard
EN-004,Engineering & Design,"You are a mechanical engineer designing a new bicycle for urban commuting. Your design focuses on lightweight aluminum frame, 21-speed gearing, and standard pneumatic tires. Create a product specification.","New information: Market research shows that your target customers (urban commuters) have a primary pain point of flat tires, which they experience on average twice per month. A competitor has just launched an airless tire product.","Must pivot the design to incorporate airless/puncture-proof tires, address the weight penalty of airless tires, and potentially differentiate from the competitor's approach.",Maintaining the pneumatic tire design without addressing the flat tire pain point or competitor's launch.,"['airless|puncture-proof|flat tire|twice per month', 'competitor|differentiate|pivot|redesign', 'weight|tradeoff|specification change']","['pneumatic tires as planned', 'original specification unchanged']",medium
EN-005,Engineering & Design,You are a civil engineer designing a bridge across a 200-meter river. Your design uses a standard concrete beam bridge with 4 support piers in the river. Create a structural design plan.,"New information: Environmental impact assessment reveals the river is a critical migration corridor for endangered fish species. Piers in the river would block migration. Additionally, the river experiences 100-year flood events that could undermine pier foundations.","Must redesign to a pier-free span (cable-stayed, suspension, or arch bridge), address the increased span requirements, and design for flood resilience.",Maintaining the 4-pier concrete beam design without addressing the environmental or flood constraints.,"['cable-stayed|suspension|arch|pier-free|single span', 'fish|migration|endangered|environmental', 'flood|100-year|resilience|foundation']","['4 piers as planned', 'original beam bridge design']",hard
EN-006,Engineering & Design,You are a food scientist developing a new plant-based burger for a major fast food chain. Your formulation uses soy protein as the primary ingredient. Create a product development plan.,"New information: The fast food chain has just announced a strategic partnership with an oat-based ingredient supplier, requiring all new products to feature oats prominently. Additionally, a new study shows 15% of your target market has a soy allergy.","Must reformulate using oat protein as the primary ingredient, address the soy allergy concern, and maintain the taste and texture profile of the original formulation.",Maintaining the soy-based formulation without addressing the oat requirement or allergy concern.,"['oat|oat protein|reformulat|replace soy', 'soy allergy|15%|allergen', 'taste|texture|maintain|profile']","['soy protein as planned', 'original formulation unchanged']",medium
EN-007,Engineering & Design,You are a UX designer creating a mobile banking app for a bank's 2 million customers. Your design uses a standard visual interface with small text and complex navigation. Create a UX design plan.,"New information: Accessibility audit reveals your design fails WCAG 2.1 AA standards. Additionally, 35% of the bank's customers are over 65 years old and have reported difficulty with small text and complex navigation in user testing.","Must redesign for accessibility (larger text, high contrast, simplified navigation, screen reader support), specifically addressing the 65+ user segment.","Maintaining the original small-text, complex-navigation design without addressing accessibility or the elderly user segment.","['WCAG|accessibility|AA standard', '65+|elderly|older|35%', 'large text|high contrast|simplified|screen reader']","['original design unchanged', 'small text as planned']",medium
EN-008,Engineering & Design,You are an aerospace engineer designing a small satellite for Earth observation. Your design uses solar panels for power and a standard lithium-ion battery for storage. Create a power system design.,"New information: The satellite's orbit has been changed to a polar orbit that will experience 45-minute eclipse periods every 90 minutes. Additionally, the mission requires operating high-power radar during eclipse periods, consuming 3x the original power budget.","Must redesign the power system to handle longer eclipse periods (larger battery capacity), accommodate the 3x power demand during eclipse, and potentially add a secondary power source (RTG or fuel cells).",Maintaining the original solar/battery design sized for the original orbit and power budget.,"['eclipse|polar orbit|45 minute', '3x power|radar|high power|eclipse period', 'larger battery|RTG|fuel cell|secondary power']","['original power system unchanged', 'standard battery as planned']",hard
EN-009,Engineering & Design,You are a chemical engineer designing a pharmaceutical manufacturing process for a new drug. Your process uses a continuous flow reactor at high temperature (200°C) and pressure (50 bar). Create a process design.,"New information: Stability testing reveals the drug compound degrades at temperatures above 80°C. Additionally, a key intermediate in your process is classified as a highly explosive compound at pressures above 20 bar.","Must completely redesign the process to operate below 80°C and 20 bar, potentially switching to batch processing, enzymatic synthesis, or room-temperature catalysis.","Maintaining the 200°C, 50 bar process without addressing the stability or explosion risk.","['80°C|below 80|temperature limit|degrad', '20 bar|explosive|pressure limit|safety', 'batch|enzymatic|catalysis|redesign|alternative']","['200°C as planned', '50 bar as planned', 'original process unchanged']",hard
EN-010,Engineering & Design,"You are an urban planner designing a new mixed-use development on a 10-acre brownfield site. Your plan includes 500 residential units, retail space, and a parking structure for 800 cars. Create a development plan.","New information: Soil testing reveals significant lead and arsenic contamination requiring $5 million in remediation. Additionally, the city has just adopted a new policy requiring all new developments to be car-free, eliminating the parking structure.","Must incorporate the $5M remediation cost into the project budget, eliminate the parking structure and replace with transit-oriented design, and potentially reduce residential units to maintain financial viability.",Maintaining the original 800-car parking structure and ignoring the contamination cost.,"['remediation|$5 million|contamination|lead|arsenic', 'car-free|no parking|transit|bike|pedestrian', 'budget|financial|viability|reduce|adjust']","['800-car parking as planned', 'original development unchanged']",hard
SC-001,Scientific Reasoning,A researcher is studying the effect of a new fertilizer on crop yield. Initial data from 3 farms shows an average 25% yield increase. The researcher plans to recommend the fertilizer for nationwide adoption. What should the next steps be?,"New information: A follow-up analysis reveals that all 3 farms were located in the same unusually wet region. The national average rainfall is 40% lower. Additionally, the fertilizer contains a compound that accumulates in soil and becomes toxic after 3 years of use.","Must recommend against immediate nationwide adoption, call for broader geographic trials, address the soil toxicity concern, and propose a long-term safety monitoring protocol.",Recommending nationwide adoption based on the original 3-farm data without addressing geographic bias or toxicity.,"['geographic|region|rainfall|bias|confound', 'toxic|accumulate|3 year|soil|long-term', 'broader trial|delay|safety|monitor|not recommend']","['recommend nationwide adoption', 'original recommendation unchanged']",hard
SC-002,Scientific Reasoning,"A clinical trial is testing a new antibiotic. After 6 months, the drug shows 90% efficacy against the target bacteria with minimal side effects. The trial team is preparing to submit for FDA approval. What should the submission include?","New information: Microbiome analysis of trial participants reveals the antibiotic eliminates 60% of beneficial gut bacteria. Additionally, 3 months after treatment, 15% of patients show signs of antibiotic-resistant bacteria.","Must include the microbiome disruption data in the submission, address the resistance emergence, recommend probiotic co-administration, and potentially propose a narrower indication or shorter treatment duration.",Submitting only the 90% efficacy data without disclosing the microbiome disruption or resistance findings.,"['microbiome|gut bacteria|60%|disrupt', 'resistance|15%|resistant bacteria', 'probiotic|disclose|include|narrow indication']","['submit only efficacy data', '90% efficacy is sufficient', 'original submission unchanged']",hard
SC-003,Scientific Reasoning,A team of astronomers has detected a radio signal from deep space that repeats every 37 seconds with unusual regularity. Initial analysis suggests it could be from an intelligent extraterrestrial source. Create a research plan.,"New information: A colleague points out that a newly discovered type of pulsar (rotating neutron star) can produce signals with exactly this regularity. Additionally, the signal's frequency matches known hydrogen emission lines, which could be natural.","Must revise the research plan to first rule out the pulsar hypothesis, design observations to distinguish between natural and artificial sources, and avoid premature claims of extraterrestrial intelligence.",Continuing to treat the signal as likely extraterrestrial without investigating the pulsar hypothesis.,"['pulsar|neutron star|natural|alternative explanation', 'rule out|hypothesis|distinguish|test', 'hydrogen|frequency|natural source']","['extraterrestrial as planned', 'original hypothesis unchanged']",medium
SC-004,Scientific Reasoning,A pharmaceutical company is developing a drug to lower cholesterol. Animal trials show 40% reduction in LDL with no observed toxicity. The company plans to move to Phase 1 human trials. Create a trial design.,"New information: A review of the animal data reveals the trials only used male rats. Additionally, the drug's mechanism involves inhibiting an enzyme that has different expression levels in women and elderly patients.","Must redesign the trial to include diverse demographics (both sexes, multiple age groups), address the sex-based enzyme expression difference, and potentially stratify the analysis by sex and age.",Proceeding with the original trial design without addressing the sex bias in animal data or the enzyme expression difference.,"['female|both sex|diverse|demographic|sex-based', 'enzyme expression|elderly|age|stratif', 'redesign|include|diverse|representation']","['original trial design unchanged', 'male rats sufficient']",hard
SC-005,Scientific Reasoning,An environmental scientist is studying the decline of a bee population in a region. Initial data suggests pesticide use is the primary cause. The scientist plans to recommend a pesticide ban. Create a policy recommendation.,"New information: New data shows that a parasitic mite (Varroa destructor) has been found in 80% of the declining hives. Additionally, the region's pesticide use is actually below the national average.","Must revise the recommendation to address the Varroa mite as the primary cause, recommend mite treatment programs, and acknowledge that the pesticide hypothesis was not supported by the data.",Maintaining the pesticide ban recommendation without addressing the Varroa mite finding.,"['Varroa|mite|parasite|80%', 'revise|change|update recommendation', 'mite treatment|miticide|hive management']","['pesticide ban as planned', 'original recommendation unchanged']",medium
SC-006,Scientific Reasoning,A materials scientist is developing a new lightweight alloy for aircraft construction. Initial tests show the alloy is 30% lighter than aluminum with similar strength. Create a development roadmap for aerospace certification.,"New information: Fatigue testing reveals the alloy develops micro-cracks after 10,000 stress cycles. Commercial aircraft components require a minimum of 100,000 cycles. Additionally, the alloy's production process releases a toxic byproduct.","Must address the 10x fatigue life gap (through alloying modifications, heat treatment, or surface coatings), redesign the production process to eliminate or capture the toxic byproduct, and adjust the certification timeline.",Proceeding with the original certification roadmap without addressing the fatigue failure or toxic byproduct.,"['10,000|100,000|fatigue|cycle|crack', 'toxic|byproduct|production|environmental', 'modify|heat treatment|coating|redesign']","['original roadmap unchanged', 'proceed to certification']",hard
SC-007,Scientific Reasoning,A neuroscientist is studying the effects of a new cognitive enhancement drug on memory. A 3-month trial with 50 participants shows 20% improvement in memory tests. The team plans to publish and seek funding for a larger trial.,New information: Analysis of the trial data reveals that the 20% improvement was entirely driven by 8 participants who are genetic carriers of a specific variant (APOE4). The remaining 42 participants showed no improvement.,"Must reframe the findings as a potential precision medicine discovery (drug works for APOE4 carriers), recommend genetic screening in future trials, and adjust the publication to accurately represent the subgroup finding.",Publishing the 20% average improvement without disclosing the APOE4 subgroup finding.,"['APOE4|genetic|subgroup|carrier|8 participant', 'precision medicine|stratif|genetic screening', 'reframe|accurate|disclose|subgroup']","['20% improvement as headline finding', 'original publication unchanged']",hard
SC-008,Scientific Reasoning,A climate scientist is modeling future sea level rise for a coastal city. Your model predicts 0.5 meters of rise by 2100 under current emissions scenarios. Create a risk assessment and adaptation plan.,New information: New data from Antarctic ice sheet monitoring shows accelerating ice loss that was not included in your model. Updated projections suggest 1.5-2.0 meters of rise by 2100 under the same emissions scenario.,"Must update the risk assessment with the new 1.5-2.0 meter projection, redesign adaptation measures for the higher range, and communicate the uncertainty range to policymakers.",Maintaining the 0.5 meter projection and original adaptation plan without incorporating the new ice sheet data.,"['1.5|2.0 meter|new projection|Antarctic|ice sheet', 'update|revise|incorporate|new data', 'uncertainty|range|communicate|policymaker']","['0.5 meters as planned', 'original projection unchanged']",medium
SC-009,Scientific Reasoning,An ecologist is studying a forest ecosystem. Initial surveys show the forest is healthy with high biodiversity. You plan to recommend the area for conservation status. Create a conservation proposal.,New information: Genetic analysis of soil samples reveals the presence of an invasive fungal pathogen (similar to chestnut blight) that has not yet caused visible symptoms but is present in 40% of tree root systems.,"Must add urgent pathogen monitoring and intervention to the conservation proposal, recommend quarantine measures to prevent spread, and adjust the conservation plan to address the imminent threat.",Submitting the original conservation proposal without addressing the detected pathogen.,"['pathogen|fungal|40%|invasive|blight', 'quarantine|monitor|intervention|urgent', 'adjust|revise|add|address threat']","['original proposal unchanged', 'healthy forest as assessed']",medium
SC-010,Scientific Reasoning,A psychologist is designing a study to measure the effectiveness of mindfulness meditation on anxiety. You plan to use a randomized controlled trial with 100 participants over 8 weeks. Create a study design.,"New information: A meta-analysis published last week shows that mindfulness effects on anxiety are highly confounded by therapist expectancy effects (placebo). Additionally, your planned control group (waitlist) is now considered methodologically inadequate by the field.","Must redesign the control condition (active control, sham meditation, or attention-matched control), add blinding procedures to reduce expectancy effects, and address the methodological critique.",Maintaining the original waitlist control design without addressing the expectancy effect or methodological inadequacy.,"['active control|sham|attention-matched|placebo', 'expectancy|blinding|therapist effect', 'redesign|revise|methodolog|address']","['waitlist control as planned', 'original design unchanged']",hard
CP-001,Creative Problem Solving,You are a novelist writing a thriller about a detective solving a murder in a small coastal town. You have outlined a plot where the butler committed the murder using poison. Write the next chapter where the detective interviews the butler.,"New information: Your editor has just informed you that the 'butler did it' trope is considered a cliché and will hurt the book's reception. Additionally, a plot hole has been identified: the butler was provably in another city on the day of the murder.","Must creatively pivot the narrative — introduce a new suspect, use the butler's alibi as a plot device (perhaps he was framed or is protecting someone), and subvert the original plot in a way that feels organic.",Continuing to write the butler as the murderer despite the alibi and cliché concerns.,"['alibi|another city|not the butler|frame|protect', 'new suspect|twist|subvert|pivot', 'cliché|trope|avoid|fresh']","['butler committed the murder', 'original plot unchanged']",medium
CP-002,Creative Problem Solving,You are a game designer creating a mobile puzzle game. Your core mechanic is a match-3 system (like Candy Crush). You have designed 50 levels. Create a monetization and engagement strategy.,"New information: App store analytics show that match-3 games have a 95% decline in daily active users after 30 days. Additionally, a new regulatory change bans loot boxes and pay-to-win mechanics in your target market.","Must redesign the monetization strategy (cosmetic-only purchases, season passes, or premium one-time purchase), and add engagement mechanics beyond match-3 (narrative, meta-game, social features) to address the retention problem.",Maintaining the original loot box/pay-to-win monetization and match-3-only mechanics.,"['cosmetic|season pass|premium|no loot box|regulatory', 'narrative|meta-game|social|retention|30 day', 'redesign|pivot|alternative|engagement']","['loot box as planned', 'original monetization unchanged']",medium
CP-003,Creative Problem Solving,"You are a chef creating a new tasting menu for a fine dining restaurant. Your menu features 7 courses centered around French cuisine with butter, cream, and foie gras. Create the menu with descriptions.","New information: A group of 12 guests has booked for next week and 4 are vegan, 2 are lactose intolerant, and 1 has a severe tree nut allergy. The restaurant's policy is to accommodate all dietary requirements without a separate 'vegan menu'.","Must redesign the menu so that each course can be adapted for all dietary requirements simultaneously, using creative plant-based substitutions that maintain the fine dining experience.",Maintaining the original butter/cream/foie gras menu without addressing the dietary requirements.,"['vegan|plant-based|dairy-free|substitute', 'nut-free|allergen|accommodate', 'redesign|adapt|each course|without separate']","['original menu unchanged', 'separate vegan menu']",medium
